GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
0100000US,,United States,321004407,*****
8600000US32003,32003,ZCTA5 32003,29163,1376
8600000US32008,32008,ZCTA5 32008,4808,755
8600000US32009,32009,ZCTA5 32009,3647,273
8600000US32011,32011,ZCTA5 32011,14446,817
8600000US32024,32024,ZCTA5 32024,19479,1075
8600000US32025,32025,ZCTA5 32025,22427,1198
8600000US32026,32026,ZCTA5 32026,1695,224
8600000US32033,32033,ZCTA5 32033,4683,518
8600000US32034,32034,ZCTA5 32034,33695,999
8600000US32038,32038,ZCTA5 32038,9891,881
8600000US32040,32040,ZCTA5 32040,7553,783
8600000US32043,32043,ZCTA5 32043,24381,1235
8600000US32044,32044,ZCTA5 32044,2117,641
8600000US32046,32046,ZCTA5 32046,9070,581
8600000US32052,32052,ZCTA5 32052,9452,499
8600000US32053,32053,ZCTA5 32053,3256,460
8600000US32054,32054,ZCTA5 32054,11723,442
8600000US32055,32055,ZCTA5 32055,16851,928
8600000US32058,32058,ZCTA5 32058,4728,694
8600000US32059,32059,ZCTA5 32059,2649,444
8600000US32060,32060,ZCTA5 32060,23702,900
8600000US32061,32061,ZCTA5 32061,443,339
8600000US32062,32062,ZCTA5 32062,2511,732
8600000US32063,32063,ZCTA5 32063,14081,755
8600000US32064,32064,ZCTA5 32064,6782,120
8600000US32065,32065,ZCTA5 32065,37734,1722
8600000US32066,32066,ZCTA5 32066,7488,338
8600000US32068,32068,ZCTA5 32068,54614,2060
8600000US32071,32071,ZCTA5 32071,3172,550
8600000US32072,32072,ZCTA5 32072,296,172
8600000US32073,32073,ZCTA5 32073,40139,1360
8600000US32079,32079,ZCTA5 32079,416,84
8600000US32080,32080,ZCTA5 32080,22349,743
8600000US32081,32081,ZCTA5 32081,11634,1428
8600000US32082,32082,ZCTA5 32082,29726,959
8600000US32083,32083,ZCTA5 32083,3561,401
8600000US32084,32084,ZCTA5 32084,34187,1532
8600000US32086,32086,ZCTA5 32086,28244,1185
8600000US32087,32087,ZCTA5 32087,5551,787
8600000US32091,32091,ZCTA5 32091,14829,808
8600000US32092,32092,ZCTA5 32092,33562,2259
8600000US32094,32094,ZCTA5 32094,2460,499
8600000US32095,32095,ZCTA5 32095,8543,1226
8600000US32096,32096,ZCTA5 32096,2303,356
8600000US32097,32097,ZCTA5 32097,17515,870
8600000US32102,32102,ZCTA5 32102,2178,378
8600000US32110,32110,ZCTA5 32110,7803,621
8600000US32112,32112,ZCTA5 32112,8043,888
8600000US32113,32113,ZCTA5 32113,5365,961
8600000US32114,32114,ZCTA5 32114,32087,979
8600000US32117,32117,ZCTA5 32117,24566,1162
8600000US32118,32118,ZCTA5 32118,16853,699
8600000US32119,32119,ZCTA5 32119,22470,590
8600000US32124,32124,ZCTA5 32124,5832,1202
8600000US32127,32127,ZCTA5 32127,30128,1279
8600000US32128,32128,ZCTA5 32128,19285,983
8600000US32129,32129,ZCTA5 32129,21574,1257
8600000US32130,32130,ZCTA5 32130,5837,746
8600000US32131,32131,ZCTA5 32131,4816,543
8600000US32132,32132,ZCTA5 32132,7341,581
8600000US32133,32133,ZCTA5 32133,54,85
8600000US32134,32134,ZCTA5 32134,7242,630
8600000US32136,32136,ZCTA5 32136,7842,365
8600000US32137,32137,ZCTA5 32137,41496,1271
8600000US32139,32139,ZCTA5 32139,978,254
8600000US32140,32140,ZCTA5 32140,1236,385
8600000US32141,32141,ZCTA5 32141,18351,652
